Molecule Name,Total Molweight,Molweight,cLogP,cLogS,H-Acceptors,H-Donors,Total Surface Area,Relative PSA,Polar Surface Area,Druglikeness,Mutagenic,Tumorigenic,Reproductive Effective,Irritant,Rotatable Bonds,Ligand,Binding Affinity,Extracted_ZINC,Is_Correct_Alignment
ZINC30878796,311.4,311.4,-1.993,-0.807,6,2,262.65,0.25616,63.44,3.3914,none,none,none,none,5,hur_model_ZINC30878796_uff_E=389.89,-4.9,ZINC30878796,True
ZINC30878801,374.476,374.476,-0.8389,-0.025,8,1,298.34,0.24549,80.7,3.7046,none,none,none,none,10,hur_model_ZINC30878801_uff_E=468.97,-5.6,ZINC30878801,True
ZINC20465248,364.484,364.484,-3.6171,-1.914,6,4,283.88,0.25197,79.97,-4.2363,none,none,none,none,5,hur_model_ZINC20465248_uff_E=626.59,-7.1,ZINC20465248,True
ZINC30878832,382.523,382.523,-1.3083,-1.903,7,3,312.09,0.26204,83.31,1.5555,none,none,none,none,5,hur_model_ZINC30878832_uff_E=350.98,-7.4,ZINC30878832,True
ZINC20465250,387.473,387.473,-0.3802,-2.866,5,3,285.67,0.16624,69.54,0.80407,none,none,none,none,6,hur_model_ZINC20465250_uff_E=548.55,-6.5,ZINC20465250,True
ZINC30878839,430.611,430.611,0.0531,-2.944,6,3,355.6,0.19331,66.24,0.93841,none,none,none,none,7,hur_model_ZINC30878839_uff_E=378.92,-6.9,ZINC30878839,True
ZINC20465255,322.447,322.447,-3.2432,-1.907,5,4,256.86,0.23955,70.74,-0.92889,none,none,none,none,5,hur_model_ZINC20465255_uff_E=550.36,-6.2,ZINC20465255,True
ZINC20465257,307.412,307.412,-2.5176,-0.867,5,3,246.92,0.23222,57.37,2.0033,none,none,none,none,4,hur_model_ZINC20465257_uff_E=442.62,-6.2,ZINC20465257,True
ZINC30878851,445.602,445.602,2.1699,-3.484,7,2,350.06,0.18483,74.27,4.6207,none,none,none,none,7,hur_model_ZINC30878851_uff_E=483.87,-7.0,ZINC30878851,True
ZINC20465259,261.341,261.341,-4.0326,-0.326,6,4,209.38,0.37759,89.38,-1.1141,none,none,none,none,5,hur_model_ZINC20465259_uff_E=468.82,-5.3,ZINC20465259,True
